Target,Scenario_ID,Scenario,w_Chronology,w_CoreProv,w_Metal,w_Assembly,T_mid,I_mid,F_mid,Net_mid,Diagnostic,Delta_Net_vs_equal
H21,EQUAL,Equal domains,0.25,0.25,0.25,0.25,0.45787250489804654,0.6236552159943007,0.08358740815932403,0.3742850967387225,Mixed / weak,0.0
H21,PRODUCTION_FOCUSED,Production/core focused,0.25,0.45,0.2,0.1,0.55229289344613,0.5065171052836234,0.06761728799359873,0.48467560545253124,Moderate support,0.11039050871380873
H21,INTEGRATION_FOCUSED,Assembly/integration focused,0.15,0.25,0.1,0.5,0.4552099530212234,0.6447792936072773,0.034575221879072415,0.420634731142151,Mixed / weak,0.046349634403428486
H21,CORE_HEAVY,Core/provenance heavy,0.2,0.5,0.15,0.15,0.5670004364817547,0.4855004241077382,0.05128303131947154,0.5157174051622831,Moderate support,0.14143230842356064
H21,CHRONOLOGY_HEAVY,Chronology heavy,0.45,0.25,0.15,0.15,0.5237902717981816,0.6318881598555093,0.05128303131947154,0.47250724047871007,Moderate support,0.09822214373998756
H21,NO_CHRONOLOGY,Leave chronology out,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41435690139204645,0.5645770203494564,0.1094198756340477,0.30493702575799875,Mixed / weak,-0.06934807098072376
H21,NO_CORE_PROV,Leave core/provenance out,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.33113504805646354,0.8099104297318559,0.1094198756340477,0.22171517242241584,"Indeterminate, support-leaning",-0.15256992431630667
H21,NO_METAL,Leave metal supply out,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.551051512238236,0.5961250388441293,0.0,0.551051512238236,Moderate support,0.1767664154995135
H21,NO_ASSEMBLY,Leave assembly/install out,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5049549483274974,0.5584242859726228,0.1094198756340477,0.39553507269344973,Moderate support,0.021249975954727218
H33,EQUAL,Equal domains,0.25,0.25,0.25,0.25,0.462743524202843,0.6508073134590815,0.2461983996404984,0.2165451245623446,"Indeterminate, support-leaning",0.0
H33,PRODUCTION_FOCUSED,Production/core focused,0.25,0.45,0.2,0.1,0.5182718008452616,0.5800224647393232,0.30494144601528755,0.21333035482997403,Contradictory / contested,-0.0032147697323705593
H33,INTEGRATION_FOCUSED,Assembly/integration focused,0.15,0.25,0.1,0.5,0.4350235747422075,0.6983699852507416,0.1802131052172436,0.2548104695249639,"Indeterminate, support-leaning",0.038265344962619297
H33,CORE_HEAVY,Core/provenance heavy,0.2,0.5,0.15,0.15,0.5139753554032687,0.5745127711607244,0.30471790722275943,0.20925744818050923,Contradictory / contested,-0.007287676381835362
H33,CHRONOLOGY_HEAVY,Chronology heavy,0.45,0.25,0.15,0.15,0.5674288401818952,0.6685890862876318,0.20296259292949076,0.36446624725240445,"Indeterminate, support-leaning",0.14792112269005986
H33,NO_CHRONOLOGY,Leave chronology out,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32426761497824136,0.6049696610755853,0.3117264843069403,0.012541130671301082,Contradictory / contested,-0.2040039938910435
H33,NO_CORE_PROV,Leave core/provenance out,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4271106265503553,0.7419048538760236,0.17433060227521618,0.2527800242751391,"Indeterminate, support-leaning",0.03623489971279453
H33,NO_METAL,Leave metal supply out,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5559253635517082,0.6783081642468443,0.17181197816933613,0.38411338538237205,"Indeterminate, support-leaning",0.16756826082002746
H33,NO_ASSEMBLY,Leave assembly/install out,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5107040945721533,0.590459529684663,0.3117264843069403,0.198977610265213,Contradictory / contested,-0.017567514297131603
