Family,H21_Weight,H33_Weight,Components,H21_T_low,H21_T_high,H21_I_dir_low,H21_I_dir_high,H21_F_low,H21_F_high,H21_Lambda_low,H21_Lambda_high,H21_I_final_low,H21_I_final_high,H33_T_low,H33_T_high,H33_I_dir_low,H33_I_dir_high,H33_F_low,H33_F_high,H33_Lambda_low,H33_Lambda_high,H33_I_final_low,H33_I_final_high
CHRONOLOGY,0.25,0.25,"M01,M02",0.41329891603149055,0.7211951410682877,0.43852627764343755,0.7901164705001653,0.0,0.0,0.55,0.75,0.7473368249395469,0.9475291176250413,0.5635894309520325,0.8654341692819453,0.32623153317212505,0.71379518704568,0.0,0.0,0.55,0.75,0.6968041899274563,0.92844879676142
CORE_PROVENANCE,0.25,0.25,"M03,M04,M05",0.5572532656173281,0.8435190884463172,0.15648091155368282,0.44274673438267187,0.0,0.0,0.0,0.0,0.15648091155368282,0.44274673438267187,0.40865239478604065,0.7029325737052643,0.2970674262947357,0.5913476052139593,0.29493588230163365,0.5499531630939615,0.0,0.0,0.2970674262947357,0.5913476052139593
METAL_SUPPLY,0.25,0.25,M06,0.0,0.0,0.5803893513692702,0.849328135906263,0.15067186409373703,0.4196106486307298,0.0,0.0,0.5803893513692702,0.849328135906263,0.0,0.0,0.42780366095809585,0.7237682491614821,0.2762317508385179,0.5721963390419041,0.0,0.0,0.42780366095809585,0.7237682491614821
ASSEMBLY_INSTALL,0.25,0.25,"M07,M08,M09",0.15067186409373703,0.4196106486307298,0.5803893513692702,0.849328135906263,0.0,0.0,0.5139578386523932,0.748802084108781,0.7960515334150489,0.9621515417562083,0.15067186409373703,0.4196106486307298,0.5803893513692702,0.849328135906263,0.0,0.0,0.5139578386523932,0.748802084108781,0.7960515334150489,0.9621515417562083
